category,metric,label,direction,n,p05,p25,p50,p75,p95,best_break_depth,reason
M,isoform_clinical_summary.by_consequence.frameshift_variant,isoform_clinical_summary.by_consequence.frameshift_variant high,>=,6457,7.0,21.0,37.0,65.0,155.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.by_consequence.inframe_deletion,isoform_clinical_summary.by_consequence.inframe_deletion high,>=,6298,1.0,5.0,9.0,17.0,52.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.by_consequence.intronic,isoform_clinical_summary.by_consequence.intronic high,>=,6459,936.0,2000.5,3143.0,4797.5,8280.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.by_consequence.missense_variant,isoform_clinical_summary.by_consequence.missense_variant high,>=,6459,202.0,442.5,723.0,1212.0,2956.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.by_consequence.stop_gained,isoform_clinical_summary.by_consequence.stop_gained high,>=,6454,6.0,16.0,28.0,48.0,113.0,0.909,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.by_consequence.synonymous_variant,isoform_clinical_summary.by_consequence.synonymous_variant high,>=,6459,88.0,180.0,294.0,498.0,1180.199999999999,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.by_source.COSMIC,isoform_clinical_summary.by_source.COSMIC high,>=,6275,225.0,389.5,582.0,925.0,2183.1999999999753,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.by_source.ClinVar,isoform_clinical_summary.by_source.ClinVar high,>=,6417,19.0,51.0,96.0,229.0,1120.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.by_source.gnomAD,isoform_clinical_summary.by_source.gnomAD high,>=,6459,1232.0,2339.0,3545.0,5462.0,9755.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.pathogenic_count,isoform_clinical_summary.pathogenic_count high,>=,6462,0.0,0.0,0.0,8.0,133.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_clinical_summary.total_variants,isoform_clinical_summary.total_variants high,>=,6462,1568.1,2878.0,4296.0,6640.0,12573.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_plm_vep_mean_llr_canonical,isoform_plm_vep_mean_llr_canonical high,>=,6462,-1.5925521850585938,-0.9822172075510025,-0.6473439037799835,-0.3458333685994148,-0.06074627861380577,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_plm_vep_mean_llr_shared_region,isoform_plm_vep_mean_llr_shared_region high,>=,6013,-1.572351603907643,-0.9479195237746967,-0.5852690922453049,-0.2843733899733599,-0.04381219609217213,0.75,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_hits__len,isoform_variant_intersection_hits__len high,>=,6462,302.0,657.0,1065.0,1770.75,4373.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_disease_in_shared_region,isoform_variant_intersection_n_disease_in_shared_region high,>=,6462,0.0,86.0,179.0,342.0,967.7499999999991,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_disease_in_unique_region,isoform_variant_intersection_n_disease_in_unique_region high,>=,6462,0.0,3.0,16.0,109.0,675.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_dropped_outside_coding,isoform_variant_intersection_n_dropped_outside_coding high,>=,6462,933.1,2020.25,3179.0,4897.75,8789.149999999998,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_gnomad_in_shared_region,isoform_variant_intersection_n_gnomad_in_shared_region high,>=,6462,0.0,245.0,487.0,850.0,1854.9499999999998,0.833,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_gnomad_in_unique_region,isoform_variant_intersection_n_gnomad_in_unique_region high,>=,6462,4.0,27.0,82.0,309.75,1487.9499999999998,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_in_shared_region,isoform_variant_intersection_n_in_shared_region high,>=,6462,0.0,341.0,680.0,1203.0,2776.6499999999987,0.8,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_in_unique_region,isoform_variant_intersection_n_in_unique_region high,>=,6462,5.0,33.0,102.0,428.0,2206.7999999999993,0.833,"no in-band cutoff — continuous, range-filter it instead"
