feature,module,pane,category,category_source,criteria,scored,dtype,fill_rate,n_unique,include_in_plot,exclude_reason,encodable_as,transform,label,derived_from,duplicate_of,null_pattern,fill_separate_orfs
isoform_motifs_summary.ZnF_C2H2_density_per100aa,motifs,isoform,S,module_map,,False,float,1.0,152,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.density_1433_per100aa,motifs,isoform,S,module_map,,False,float,1.0,1255,True,,numeric,log1p,,,,,1.0
isoform_motifs_summary.total_1433,motifs,isoform,S,module_map,,False,int,1.0,14,True,,numeric,log1p,,,,,1.0
n_isoform_motifs_hits,motifs,isoform,S,module_map,,False,int,1.0,86,True,,numeric,log1p,,isoform_motifs_hits,,,1.0
isoform_sae_features_canonical_only,sae,isoform,S,module_map,,False,list,1.0,29,False,list,count,-,,,,,
isoform_sae_features_isoform_only,sae,isoform,S,module_map,,False,list,1.0,30,False,list,count,-,,,,,
isoform_sae_mean_abs_delta_shared,sae,isoform,S,module_map,,False,float,1.0,4396,True,,numeric,linear,,,,,1.0
isoform_sae_n_canonical_only,sae,isoform,S,module_map,,False,int,1.0,1492,True,,numeric,linear,,,,,1.0
isoform_sae_n_canonical_total,sae,isoform,S,module_map,,False,int,1.0,1795,True,,numeric,linear,,,,,1.0
isoform_sae_n_isoform_only,sae,isoform,S,module_map,,False,int,1.0,458,True,,numeric,linear,,,,,1.0
isoform_sae_n_isoform_total,sae,isoform,S,module_map,,False,int,1.0,2245,True,,numeric,linear,,,,,1.0
isoform_sae_n_shared,sae,isoform,S,module_map,,False,int,1.0,2245,True,,numeric,linear,,,,,1.0
isoform_sae_n_unique_region_features,sae,isoform,S,module_map,,False,int,1.0,1719,True,,numeric,linear,,,,,1.0
isoform_sae_shared_feature_deltas,sae,isoform,S,module_map,,False,list,1.0,6,False,list,count,-,,,,,
isoform_sae_status,sae,isoform,S,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
isoform_sae_top_gained_delta_max,sae,isoform,S,evidence_cols,S3_sae,True,float,1.0,4573,True,,numeric,signed_log,,,,,1.0
isoform_sae_top_gained_feature_index,sae,isoform,S,module_map,,False,int,1.0,821,True,,numeric,linear,,,,,1.0
isoform_sae_top_gained_feature_label,sae,isoform,S,module_map,,False,str,1.0,797,False,free_text,text_embedding,-,,,,,
isoform_sae_top_lost_delta_max,sae,isoform,S,evidence_cols,S3_sae,True,float,1.0,4789,True,,numeric,signed_log,,,,,1.0
isoform_sae_top_lost_feature_index,sae,isoform,S,module_map,,False,int,1.0,1266,True,,numeric,linear,,,,,1.0
isoform_sae_top_lost_feature_label,sae,isoform,S,module_map,,False,str,1.0,1238,False,free_text,text_embedding,-,,,,,
isoform_sae_unique_region_space,sae,isoform,S,module_map,,False,str,1.0,2,False,categorical,one_hot,-,,,,,
isoform_sae_unique_region_top_features,sae,isoform,S,module_map,,False,list,1.0,12,False,list,count,-,,,,,
n_isoform_sae_features_canonical_only,sae,isoform,S,module_map,,False,int,1.0,29,True,,numeric,log1p,,isoform_sae_features_canonical_only,,,1.0
n_isoform_sae_features_isoform_only,sae,isoform,S,module_map,,False,int,1.0,30,True,,numeric,log1p,,isoform_sae_features_isoform_only,,,1.0
n_isoform_sae_shared_feature_deltas,sae,isoform,S,module_map,,False,int,1.0,6,True,,numeric,log1p,,isoform_sae_shared_feature_deltas,,,1.0
